Simulation,Team,Player_1_Name,Player_1_Position,Player_1_Team,Player_2_Name,Player_2_Position,Player_2_Team,Player_3_Name,Player_3_Position,Player_3_Team,Player_4_Name,Player_4_Position,Player_4_Team,Player_5_Name,Player_5_Position,Player_5_Team,Player_6_Name,Player_6_Position,Player_6_Team
3,Team 14,Christian McCaffrey,RB,San Francisco 49ers,Puka Nacua,WR,Los Angeles Rams,Drake London,WR,Atlanta Falcons,Brandon Aiyuk,WR,San Francisco 49ers,Trevor Lawrence,QB,Jacksonville Jaguars,Dallas Goedert,TE,Philadelphia Eagles
3,Team 15,Tyreek Hill,WR,Miami Dolphins,Garrett Wilson,WR,NY Jets,Nico Collins,WR,Houston Texans,Kyren Williams,RB,Los Angeles Rams,Dalton Schultz,TE,Houston Texans,Josh Allen,QB,Buffalo Bills
3,Team 16,Justin Jefferson,WR,Minnesota Vikings,A.J. Brown,WR,Philadelphia Eagles,Saquon Barkley,RB,Philadelphia Eagles,Davante Adams,WR,Las Vegas Raiders,Brock Bowers,TE,Las Vegas Raiders,Patrick Mahomes,QB,Kansas City Chiefs
3,Team 17,Ja'Marr Chase,WR,Cincinnati Bengals,Breece Hall,RB,NY Jets,Jaylen Waddle,WR,Miami Dolphins,De'Von Achane,RB,Miami Dolphins,Jordan Love,QB,Green Bay Packers,David Njoku,TE,Cleveland Browns
3,Team 18,Bijan Robinson,RB,Atlanta Falcons,Amon-Ra St. Brown,WR,Detroit Lions,Jonathan Taylor,RB,Indianapolis Colts,Chris Olave,WR,New Orleans Saints,Sam LaPorta,TE,Detroit Lions,Jared Goff,QB,Detroit Lions
4,Team 19,Christian McCaffrey,RB,San Francisco 49ers,Marvin Harrison,WR,Arizona Cardinals,Jahmyr Gibbs,RB,Detroit Lions,Brandon Aiyuk,WR,San Francisco 49ers,Sam LaPorta,TE,Detroit Lions,Jared Goff,QB,Detroit Lions
4,Team 20,CeeDee Lamb,WR,Dallas Cowboys,Puka Nacua,WR,Los Angeles Rams,Nico Collins,WR,Houston Texans,Jake Ferguson,TE,Dallas Cowboys,Derrick Henry,RB,Baltimore Ravens,Trevor Lawrence,QB,Jacksonville Jaguars
4,Team 21,Tyreek Hill,WR,Miami Dolphins,Garrett Wilson,WR,NY Jets,Drake London,WR,Atlanta Falcons,Kyren Williams,RB,Los Angeles Rams,Tua Tagovailoa,QB,Miami Dolphins,Trey McBride,TE,Arizona Cardinals
4,Team 22,Ja'Marr Chase,WR,Cincinnati Bengals,Breece Hall,RB,NY Jets,Jonathan Taylor,RB,Indianapolis Colts,Jaylen Waddle,WR,Miami Dolphins,Jordan Love,QB,Green Bay Packers,Brock Bowers,TE,Las Vegas Raiders
4,Team 23,Justin Jefferson,WR,Minnesota Vikings,Amon-Ra St. Brown,WR,Detroit Lions,Saquon Barkley,RB,Philadelphia Eagles,De'Von Achane,RB,Miami Dolphins,Lamar Jackson,QB,Baltimore Ravens,Mark Andrews,TE,Baltimore Ravens
4,Team 24,A.J. Brown,WR,Philadelphia Eagles,Bijan Robinson,RB,Atlanta Falcons,Chris Olave,WR,New Orleans Saints,Deebo Samuel,WR,San Francisco 49ers,Dallas Goedert,TE,Philadelphia Eagles,Joe Burrow,QB,Cincinnati Bengals
5,Team 25,Christian McCaffrey,RB,San Francisco 49ers,Drake London,WR,Atlanta Falcons,Jahmyr Gibbs,RB,Detroit Lions,Jaylen Waddle,WR,Miami Dolphins,Tua Tagovailoa,QB,Miami Dolphins,David Njoku,TE,Cleveland Browns
5,Team 26,CeeDee Lamb,WR,Dallas Cowboys,Garrett Wilson,WR,NY Jets,Marvin Harrison,WR,Arizona Cardinals,Kyren Williams,RB,Los Angeles Rams,Jordan Love,QB,Green Bay Packers,Jake Ferguson,TE,Dallas Cowboys
5,Team 27,Tyreek Hill,WR,Miami Dolphins,Puka Nacua,WR,Los Angeles Rams,Nico Collins,WR,Houston Texans,Saquon Barkley,RB,Philadelphia Eagles,Jalen Hurts,QB,Philadelphia Eagles,Dalton Kincaid,TE,Buffalo Bills
5,Team 28,Ja'Marr Chase,WR,Cincinnati Bengals,A.J. Brown,WR,Philadelphia Eagles,Jonathan Taylor,RB,Indianapolis Colts,De'Von Achane,RB,Miami Dolphins,Joe Burrow,QB,Cincinnati Bengals,Dalton Schultz,TE,Houston Texans
5,Team 29,Justin Jefferson,WR,Minnesota Vikings,Bijan Robinson,RB,Atlanta Falcons,Brandon Aiyuk,WR,San Francisco 49ers,Davante Adams,WR,Las Vegas Raiders,Brock Purdy,QB,San Francisco 49ers,Brock Bowers,TE,Las Vegas Raiders
5,Team 30,Breece Hall,RB,NY Jets,Amon-Ra St. Brown,WR,Detroit Lions,Chris Olave,WR,New Orleans Saints,Deebo Samuel,WR,San Francisco 49ers,Sam LaPorta,TE,Detroit Lions,Jayden Daniels,QB,Washington Commanders
6,Team 31,Christian McCaffrey,RB,San Francisco 49ers,Garrett Wilson,WR,NY Jets,Jahmyr Gibbs,RB,Detroit Lions,Jaylen Waddle,WR,Miami Dolphins,Trey McBride,TE,Arizona Cardinals,Tua Tagovailoa,QB,Miami Dolphins
6,Team 32,CeeDee Lamb,WR,Dallas Cowboys,Marvin Harrison,WR,Arizona Cardinals,Drake London,WR,Atlanta Falcons,Derrick Henry,RB,Baltimore Ravens,Caleb Williams,QB,Chicago Bears,Jake Ferguson,TE,Dallas Cowboys
6,Team 33,Ja'Marr Chase,WR,Cincinnati Bengals,Breece Hall,RB,NY Jets,Jonathan Taylor,RB,Indianapolis Colts,Deebo Samuel,WR,San Francisco 49ers,Travis Kelce,TE,Kansas City Chiefs,Patrick Mahomes,QB,Kansas City Chiefs
6,Team 34,Tyreek Hill,WR,Miami Dolphins,A.J. Brown,WR,Philadelphia Eagles,Nico Collins,WR,Houston Texans,De'Von Achane,RB,Miami Dolphins,Jalen Hurts,QB,Philadelphia Eagles,Pat Freiermuth,TE,Pittsburgh Steelers
6,Team 35,Justin Jefferson,WR,Minnesota Vikings,Puka Nacua,WR,Los Angeles Rams,Davante Adams,WR,Las Vegas Raiders,Saquon Barkley,RB,Philadelphia Eagles,Josh Allen,QB,Buffalo Bills,Dallas Goedert,TE,Philadelphia Eagles
6,Team 36,Amon-Ra St. Brown,WR,Detroit Lions,Bijan Robinson,RB,Atlanta Falcons,Chris Olave,WR,New Orleans Saints,Brandon Aiyuk,WR,San Francisco 49ers,Jared Goff,QB,Detroit Lions,Sam LaPorta,TE,Detroit Lions
7,Team 37,Christian McCaffrey,RB,San Francisco 49ers,Jahmyr Gibbs,RB,Detroit Lions,Marvin Harrison,WR,Arizona Cardinals,Davante Adams,WR,Las Vegas Raiders,Kyler Murray,QB,Arizona Cardinals,Brock Bowers,TE,Las Vegas Raiders
7,Team 38,CeeDee Lamb,WR,Dallas Cowboys,Puka Nacua,WR,Los Angeles Rams,Jonathan Taylor,RB,Indianapolis Colts,Chris Olave,WR,New Orleans Saints,Sam LaPorta,TE,Detroit Lions,Jared Goff,QB,Detroit Lions
7,Team 39,Ja'Marr Chase,WR,Cincinnati Bengals,Garrett Wilson,WR,NY Jets,Drake London,WR,Atlanta Falcons,Kyren Williams,RB,Los Angeles Rams,Jordan Love,QB,Green Bay Packers,Dalton Schultz,TE,Houston Texans
7,Team 40,Amon-Ra St. Brown,WR,Detroit Lions,A.J. Brown,WR,Philadelphia Eagles,Nico Collins,WR,Houston Texans,De'Von Achane,RB,Miami Dolphins,Trey McBride,TE,Arizona Cardinals,Trevor Lawrence,QB,Jacksonville Jaguars
7,Team 41,Tyreek Hill,WR,Miami Dolphins,Breece Hall,RB,NY Jets,Jaylen Waddle,WR,Miami Dolphins,Saquon Barkley,RB,Philadelphia Eagles,Jalen Hurts,QB,Philadelphia Eagles,Mark Andrews,TE,Baltimore Ravens
7,Team 42,Justin Jefferson,WR,Minnesota Vikings,Bijan Robinson,RB,Atlanta Falcons,Brandon Aiyuk,WR,San Francisco 49ers,Deebo Samuel,WR,San Francisco 49ers,Patrick Mahomes,QB,Kansas City Chiefs,David Njoku,TE,Cleveland Browns
8,Team 43,Ja'Marr Chase,WR,Cincinnati Bengals,Jahmyr Gibbs,RB,Detroit Lions,Puka Nacua,WR,Los Angeles Rams,Davante Adams,WR,Las Vegas Raiders,Sam LaPorta,TE,Detroit Lions,Joe Burrow,QB,Cincinnati Bengals
8,Team 44,CeeDee Lamb,WR,Dallas Cowboys,Marvin Harrison,WR,Arizona Cardinals,Nico Collins,WR,Houston Texans,Kyren Williams,RB,Los Angeles Rams,Dalton Schultz,TE,Houston Texans,Lamar Jackson,QB,Baltimore Ravens
8,Team 45,Tyreek Hill,WR,Miami Dolphins,Garrett Wilson,WR,NY Jets,Chris Olave,WR,New Orleans Saints,De'Von Achane,RB,Miami Dolphins,Jayden Daniels,QB,Washington Commanders,Travis Kelce,TE,Kansas City Chiefs
8,Team 46,Christian McCaffrey,RB,San Francisco 49ers,A.J. Brown,WR,Philadelphia Eagles,Deebo Samuel,WR,San Francisco 49ers,Brandon Aiyuk,WR,San Francisco 49ers,Jalen Hurts,QB,Philadelphia Eagles,David Njoku,TE,Cleveland Browns
8,Team 47,Justin Jefferson,WR,Minnesota Vikings,Breece Hall,RB,NY Jets,Drake London,WR,Atlanta Falcons,Saquon Barkley,RB,Philadelphia Eagles,Dallas Goedert,TE,Philadelphia Eagles,Kyler Murray,QB,Arizona Cardinals
8,Team 48,Amon-Ra St. Brown,WR,Detroit Lions,Bijan Robinson,RB,Atlanta Falcons,Jonathan Taylor,RB,Indianapolis Colts,Jaylen Waddle,WR,Miami Dolphins,Jared Goff,QB,Detroit Lions,Brock Bowers,TE,Las Vegas Raiders
9,Team 49,Christian McCaffrey,RB,San Francisco 49ers,Marvin Harrison,WR,Arizona Cardinals,Nico Collins,WR,Houston Texans,DeVonta Smith,WR,Philadelphia Eagles,Kyler Murray,QB,Arizona Cardinals,Trey McBride,TE,Arizona Cardinals
9,Team 50,CeeDee Lamb,WR,Dallas Cowboys,Puka Nacua,WR,Los Angeles Rams,Jahmyr Gibbs,RB,Detroit Lions,Chris Olave,WR,New Orleans Saints,Sam LaPorta,TE,Detroit Lions,Dak Prescott,QB,Dallas Cowboys
9,Team 51,Tyreek Hill,WR,Miami Dolphins,Breece Hall,RB,NY Jets,Jonathan Taylor,RB,Indianapolis Colts,Brandon Aiyuk,WR,San Francisco 49ers,Brock Bowers,TE,Las Vegas Raiders,Tua Tagovailoa,QB,Miami Dolphins
9,Team 52,Justin Jefferson,WR,Minnesota Vikings,Garrett Wilson,WR,NY Jets,Drake London,WR,Atlanta Falcons,De'Von Achane,RB,Miami Dolphins,Jordan Love,QB,Green Bay Packers,Dalton Schultz,TE,Houston Texans
9,Team 53,Ja'Marr Chase,WR,Cincinnati Bengals,Bijan Robinson,RB,Atlanta Falcons,Davante Adams,WR,Las Vegas Raiders,Jaylen Waddle,WR,Miami Dolphins,Joe Burrow,QB,Cincinnati Bengals,David Njoku,TE,Cleveland Browns
9,Team 54,A.J. Brown,WR,Philadelphia Eagles,Amon-Ra St. Brown,WR,Detroit Lions,Deebo Samuel,WR,San Francisco 49ers,Saquon Barkley,RB,Philadelphia Eagles,Patrick Mahomes,QB,Kansas City Chiefs,Travis Kelce,TE,Kansas City Chiefs
10,Team 55,CeeDee Lamb,WR,Dallas Cowboys,Drake London,WR,Atlanta Falcons,Jahmyr Gibbs,RB,Detroit Lions,Kyren Williams,RB,Los Angeles Rams,Jared Goff,QB,Detroit Lions,Sam LaPorta,TE,Detroit Lions
10,Team 56,Christian McCaffrey,RB,San Francisco 49ers,Puka Nacua,WR,Los Angeles Rams,Jonathan Taylor,RB,Indianapolis Colts,Davante Adams,WR,Las Vegas Raiders,Jake Ferguson,TE,Dallas Cowboys,Dak Prescott,QB,Dallas Cowboys
10,Team 57,Tyreek Hill,WR,Miami Dolphins,Garrett Wilson,WR,NY Jets,Marvin Harrison,WR,Arizona Cardinals,De'Von Achane,RB,Miami Dolphins,Trey McBride,TE,Arizona Cardinals,Patrick Mahomes,QB,Kansas City Chiefs
10,Team 58,Ja'Marr Chase,WR,Cincinnati Bengals,A.J. Brown,WR,Philadelphia Eagles,Saquon Barkley,RB,Philadelphia Eagles,Deebo Samuel,WR,San Francisco 49ers,Joe Burrow,QB,Cincinnati Bengals,Travis Kelce,TE,Kansas City Chiefs
10,Team 59,Justin Jefferson,WR,Minnesota Vikings,Breece Hall,RB,NY Jets,Chris Olave,WR,New Orleans Saints,Brandon Aiyuk,WR,San Francisco 49ers,Jordan Love,QB,Green Bay Packers,Dalton Kincaid,TE,Buffalo Bills
10,Team 60,Bijan Robinson,RB,Atlanta Falcons,Amon-Ra St. Brown,WR,Detroit Lions,Jaylen Waddle,WR,Miami Dolphins,Nico Collins,WR,Houston Texans,Dalton Schultz,TE,Houston Texans,Tua Tagovailoa,QB,Miami Dolphins
11,Team 61,Christian McCaffrey,RB,San Francisco 49ers,Drake London,WR,Atlanta Falcons,Jahmyr Gibbs,RB,Detroit Lions,Davante Adams,WR,Las Vegas Raiders,Brock Purdy,QB,San Francisco 49ers,Brock Bowers,TE,Las Vegas Raiders
11,Team 62,CeeDee Lamb,WR,Dallas Cowboys,Puka Nacua,WR,Los Angeles Rams,Marvin Harrison,WR,Arizona Cardinals,Kyren Williams,RB,Los Angeles Rams,Jake Ferguson,TE,Dallas Cowboys,Trevor Lawrence,QB,Jacksonville Jaguars
11,Team 63,Tyreek Hill,WR,Miami Dolphins,Garrett Wilson,WR,NY Jets,Jonathan Taylor,RB,Indianapolis Colts,De'Von Achane,RB,Miami Dolphins,Mark Andrews,TE,Baltimore Ravens,Lamar Jackson,QB,Baltimore Ravens
11,Team 64,Justin Jefferson,WR,Minnesota Vikings,Breece Hall,RB,NY Jets,Chris Olave,WR,New Orleans Saints,Jaylen Waddle,WR,Miami Dolphins,Joe Burrow,QB,Cincinnati Bengals,Dalton Schultz,TE,Houston Texans
11,Team 65,Ja'Marr Chase,WR,Cincinnati Bengals,A.J. Brown,WR,Philadelphia Eagles,Deebo Samuel,WR,San Francisco 49ers,Saquon Barkley,RB,Philadelphia Eagles,Jalen Hurts,QB,Philadelphia Eagles,Dallas Goedert,TE,Philadelphia Eagles
11,Team 66,Bijan Robinson,RB,Atlanta Falcons,Amon-Ra St. Brown,WR,Detroit Lions,Nico Collins,WR,Houston Texans,Brandon Aiyuk,WR,San Francisco 49ers,Sam LaPorta,TE,Detroit Lions,Kyler Murray,QB,Arizona Cardinals
12,Team 67,CeeDee Lamb,WR,Dallas Cowboys,Jahmyr Gibbs,RB,Detroit Lions,Drake London,WR,Atlanta Falcons,Mike Evans,WR,Tampa Bay Buccaneers,Jared Goff,QB,Detroit Lions,Dalton Schultz,TE,Houston Texans
12,Team 68,Christian McCaffrey,RB,San Francisco 49ers,Garrett Wilson,WR,NY Jets,Jonathan Taylor,RB,Indianapolis Colts,Davante Adams,WR,Las Vegas Raiders,Lamar Jackson,QB,Baltimore Ravens,Brock Bowers,TE,Las Vegas Raiders
12,Team 69,Tyreek Hill,WR,Miami Dolphins,Puka Nacua,WR,Los Angeles Rams,Marvin Harrison,WR,Arizona Cardinals,Kyren Williams,RB,Los Angeles Rams,Tua Tagovailoa,QB,Miami Dolphins,Trey McBride,TE,Arizona Cardinals
12,Team 70,Amon-Ra St. Brown,WR,Detroit Lions,A.J. Brown,WR,Philadelphia Eagles,Nico Collins,WR,Houston Texans,De'Von Achane,RB,Miami Dolphins,Sam LaPorta,TE,Detroit Lions,Dak Prescott,QB,Dallas Cowboys
12,Team 71,Ja'Marr Chase,WR,Cincinnati Bengals,Breece Hall,RB,NY Jets,Jaylen Waddle,WR,Miami Dolphins,Saquon Barkley,RB,Philadelphia Eagles,David Njoku,TE,Cleveland Browns,Joe Burrow,QB,Cincinnati Bengals
12,Team 72,Justin Jefferson,WR,Minnesota Vikings,Bijan Robinson,RB,Atlanta Falcons,Deebo Samuel,WR,San Francisco 49ers,Chris Olave,WR,New Orleans Saints,Josh Allen,QB,Buffalo Bills,Mark Andrews,TE,Baltimore Ravens
13,Team 73,Christian McCaffrey,RB,San Francisco 49ers,Jahmyr Gibbs,RB,Detroit Lions,Drake London,WR,Atlanta Falcons,Davante Adams,WR,Las Vegas Raiders,Brock Bowers,TE,Las Vegas Raiders,Patrick Mahomes,QB,Kansas City Chiefs
13,Team 74,CeeDee Lamb,WR,Dallas Cowboys,Puka Nacua,WR,Los Angeles Rams,Marvin Harrison,WR,Arizona Cardinals,Kyren Williams,RB,Los Angeles Rams,Josh Allen,QB,Buffalo Bills,Dalton Kincaid,TE,Buffalo Bills
13,Team 75,Tyreek Hill,WR,Miami Dolphins,A.J. Brown,WR,Philadelphia Eagles,Jonathan Taylor,RB,Indianapolis Colts,Deebo Samuel,WR,San Francisco 49ers,Jalen Hurts,QB,Philadelphia Eagles,Mark Andrews,TE,Baltimore Ravens
13,Team 76,Ja'Marr Chase,WR,Cincinnati Bengals,Garrett Wilson,WR,NY Jets,Nico Collins,WR,Houston Texans,De'Von Achane,RB,Miami Dolphins,Joe Burrow,QB,Cincinnati Bengals,Pat Freiermuth,TE,Pittsburgh Steelers
13,Team 77,Justin Jefferson,WR,Minnesota Vikings,Breece Hall,RB,NY Jets,Jaylen Waddle,WR,Miami Dolphins,Saquon Barkley,RB,Philadelphia Eagles,Dallas Goedert,TE,Philadelphia Eagles,Jayden Daniels,QB,Washington Commanders
13,Team 78,Bijan Robinson,RB,Atlanta Falcons,Amon-Ra St. Brown,WR,Detroit Lions,Brandon Aiyuk,WR,San Francisco 49ers,Chris Olave,WR,New Orleans Saints,Jared Goff,QB,Detroit Lions,Sam LaPorta,TE,Detroit Lions
14,Team 79,Christian McCaffrey,RB,San Francisco 49ers,Marvin Harrison,WR,Arizona Cardinals,Jonathan Taylor,RB,Indianapolis Colts,Davante Adams,WR,Las Vegas Raiders,Anthony Richardson,QB,Indianapolis Colts,Trey McBride,TE,Arizona Cardinals
14,Team 80,Tyreek Hill,WR,Miami Dolphins,Garrett Wilson,WR,NY Jets,Jahmyr Gibbs,RB,Detroit Lions,Brandon Aiyuk,WR,San Francisco 49ers,Dallas Goedert,TE,Philadelphia Eagles,Patrick Mahomes,QB,Kansas City Chiefs
14,Team 81,CeeDee Lamb,WR,Dallas Cowboys,Puka Nacua,WR,Los Angeles Rams,Nico Collins,WR,Houston Texans,Kyren Williams,RB,Los Angeles Rams,Brock Bowers,TE,Las Vegas Raiders,Kyler Murray,QB,Arizona Cardinals
14,Team 82,Ja'Marr Chase,WR,Cincinnati Bengals,A.J. Brown,WR,Philadelphia Eagles,Drake London,WR,Atlanta Falcons,De'Von Achane,RB,Miami Dolphins,Joe Burrow,QB,Cincinnati Bengals,Pat Freiermuth,TE,Pittsburgh Steelers
14,Team 83,Justin Jefferson,WR,Minnesota Vikings,Breece Hall,RB,NY Jets,Chris Olave,WR,New Orleans Saints,Saquon Barkley,RB,Philadelphia Eagles,Jalen Hurts,QB,Philadelphia Eagles,David Njoku,TE,Cleveland Browns
14,Team 84,Amon-Ra St. Brown,WR,Detroit Lions,Bijan Robinson,RB,Atlanta Falcons,Jaylen Waddle,WR,Miami Dolphins,Deebo Samuel,WR,San Francisco 49ers,Brock Purdy,QB,San Francisco 49ers,Travis Kelce,TE,Kansas City Chiefs
15,Team 85,Christian McCaffrey,RB,San Francisco 49ers,Jahmyr Gibbs,RB,Detroit Lions,Drake London,WR,Atlanta Falcons,Brandon Aiyuk,WR,San Francisco 49ers,Josh Allen,QB,Buffalo Bills,Travis Kelce,TE,Kansas City Chiefs
15,Team 86,CeeDee Lamb,WR,Dallas Cowboys,Garrett Wilson,WR,NY Jets,Chris Olave,WR,New Orleans Saints,Kyren Williams,RB,Los Angeles Rams,Anthony Richardson,QB,Indianapolis Colts,Sam LaPorta,TE,Detroit Lions
15,Team 87,Tyreek Hill,WR,Miami Dolphins,A.J. Brown,WR,Philadelphia Eagles,Marvin Harrison,WR,Arizona Cardinals,De'Von Achane,RB,Miami Dolphins,Tua Tagovailoa,QB,Miami Dolphins,Dalton Kincaid,TE,Buffalo Bills
15,Team 88,Ja'Marr Chase,WR,Cincinnati Bengals,Puka Nacua,WR,Los Angeles Rams,Jonathan Taylor,RB,Indianapolis Colts,Mike Evans,WR,Tampa Bay Buccaneers,Lamar Jackson,QB,Baltimore Ravens,Mark Andrews,TE,Baltimore Ravens
15,Team 89,Justin Jefferson,WR,Minnesota Vikings,Amon-Ra St. Brown,WR,Detroit Lions,Nico Collins,WR,Houston Texans,Saquon Barkley,RB,Philadelphia Eagles,Dallas Goedert,TE,Philadelphia Eagles,Trevor Lawrence,QB,Jacksonville Jaguars
15,Team 90,Bijan Robinson,RB,Atlanta Falcons,Breece Hall,RB,NY Jets,Davante Adams,WR,Las Vegas Raiders,Jaylen Waddle,WR,Miami Dolphins,Dalton Schultz,TE,Houston Texans,Jordan Love,QB,Green Bay Packers
16,Team 91,Christian McCaffrey,RB,San Francisco 49ers,Jahmyr Gibbs,RB,Detroit Lions,Marvin Harrison,WR,Arizona Cardinals,Brandon Aiyuk,WR,San Francisco 49ers,Trey McBride,TE,Arizona Cardinals,Jayden Daniels,QB,Washington Commanders
16,Team 92,CeeDee Lamb,WR,Dallas Cowboys,Puka Nacua,WR,Los Angeles Rams,Drake London,WR,Atlanta Falcons,Kyren Williams,RB,Los Angeles Rams,Dalton Kincaid,TE,Buffalo Bills,Josh Allen,QB,Buffalo Bills
16,Team 93,Tyreek Hill,WR,Miami Dolphins,A.J. Brown,WR,Philadelphia Eagles,Jonathan Taylor,RB,Indianapolis Colts,Davante Adams,WR,Las Vegas Raiders,Dallas Goedert,TE,Philadelphia Eagles,Jalen Hurts,QB,Philadelphia Eagles
16,Team 94,Ja'Marr Chase,WR,Cincinnati Bengals,Garrett Wilson,WR,NY Jets,Nico Collins,WR,Houston Texans,De'Von Achane,RB,Miami Dolphins,Joe Burrow,QB,Cincinnati Bengals,Travis Kelce,TE,Kansas City Chiefs
16,Team 95,Amon-Ra St. Brown,WR,Detroit Lions,Breece Hall,RB,NY Jets,Chris Olave,WR,New Orleans Saints,Jaylen Waddle,WR,Miami Dolphins,Mark Andrews,TE,Baltimore Ravens,Lamar Jackson,QB,Baltimore Ravens
16,Team 96,Justin Jefferson,WR,Minnesota Vikings,Bijan Robinson,RB,Atlanta Falcons,Saquon Barkley,RB,Philadelphia Eagles,Deebo Samuel,WR,San Francisco 49ers,Brock Purdy,QB,San Francisco 49ers,David Njoku,TE,Cleveland Browns
17,Team 97,Christian McCaffrey,RB,San Francisco 49ers,Marvin Harrison,WR,Arizona Cardinals,Jahmyr Gibbs,RB,Detroit Lions,Deebo Samuel,WR,San Francisco 49ers,Jared Goff,QB,Detroit Lions,Trey McBride,TE,Arizona Cardinals
17,Team 98,CeeDee Lamb,WR,Dallas Cowboys,Puka Nacua,WR,Los Angeles Rams,Drake London,WR,Atlanta Falcons,Kyren Williams,RB,Los Angeles Rams,Jayden Daniels,QB,Washington Commanders,Pat Freiermuth,TE,Pittsburgh Steelers
17,Team 99,Ja'Marr Chase,WR,Cincinnati Bengals,Garrett Wilson,WR,NY Jets,Chris Olave,WR,New Orleans Saints,De'Von Achane,RB,Miami Dolphins,Tua Tagovailoa,QB,Miami Dolphins,Dalton Kincaid,TE,Buffalo Bills
17,Team 100,Tyreek Hill,WR,Miami Dolphins,A.J. Brown,WR,Philadelphia Eagles,Jonathan Taylor,RB,Indianapolis Colts,Davante Adams,WR,Las Vegas Raiders,Jordan Love,QB,Green Bay Packers,Jake Ferguson,TE,Dallas Cowboys
17,Team 101,Justin Jefferson,WR,Minnesota Vikings,Bijan Robinson,RB,Atlanta Falcons,Nico Collins,WR,Houston Texans,Jaylen Waddle,WR,Miami Dolphins,Trevor Lawrence,QB,Jacksonville Jaguars,David Njoku,TE,Cleveland Browns
